ISO,quarantine _1,quarantine _2,quarantine _3,quarantine _4,quarantine _5,quarantine _6,quarantine _7,quarantine - Split 9,covidTest_1,covidTest_2,covidTest_3,covidTest_4,covidTest_5,covidTest_6,covidTest_7,covidTest_8,covidTest_9,covidTest_10,covidTest_11,covidTest_12,
SPM,Quarantine Requirement- Unknown where,"Upon arrival, all travellers will be subject to a 7-day quarantine, followed by a second PCR test",,,,,,,COVID-19 negative certification required for entering the country,All travellers over the age of 11 must undertake a test for COVID-19 within 72 hours before departure for St Pierre & Miquelon,The test is obligatory and the traveller must show proof of a negative result before embarking,,,,,,,,,,
VCT,Quarantine requirement at government designated site,"Travellers must quarantine for a minimum of 14 days, the first 5 of must be in an approved Transition Quarantine Hotel at their own expense",Travellers must provide proof of the fully paid reservation and must transfer to the Transition Hotel in an approved AIA taxi or approved vessel (plane or ferry) at their own expense,,,,,,COVID-19 negative certification is required for entering the country,Travellers MUST complete the pre-arrival questionnaire  and arrive with a negative result of a COVID-19 (RT-PCR) test done no more than five days before arrival,(The result document should clearly state what the test is (eg. PCR COVID-19 test) and the date on which the test was carried out),,,,,,,,,,
WSM,Quarantine requirement at government designated site,"All passengers who have complied with these requirements should expect quarantine for a period determined by the Ministry of Health depending on vaccine type, and country of origin",,,,,,,COVID-19 negative certification required for entering the country,A Negative rtPCR COVID test is still required to be taken within 72 hours of departure from originating airport,The lab result must be presented in hard copy on arrival into Samoa,For further details please see https:    www.health.gov.ws,,,,,,,,,
STP,Unclear if there are any qurantine requirements or self-isolation at home,,,,,,,,COVID-19 negative certification required for entering the country,ll air passengers arriving in S√£o Tom√© and Principe are required to have proof of a negative COVID-19 PCR test taken in the 72 hours prior to their arrival,,,,,,,,,,,
SAU,Self-isolation at own accommodation,"Travellers from countries where cases of the new strain have been registered are required to quarantine at home for 7 days, and undergo a PCR test on the 6th day before ending quarantine","Travellers from all other countries are required to quarantine at home for 7 days, or 3 days followed by a negative PCR test",The Saudi authorities require anyone who is travelling from a country where the new strain of COVID-19 has spread to spend at least 14 days outside the affected country before entering the Kingdom,This includes travellers from the UK,Please check the General Authority of Civil Aviation ,,,COVID-19 negative certification required for entering the country,All travellers are required to provide a negative PCR test certificate issued from a verified laboratory,"All travellers will have their temperature checked, on arrival in Saudi Arabia",,,,,,,,,,
SEN,Quarantine requirement at government designated site- subject to PCR,Incoming passengers may be subject to a 14-day quarantine upon arrival,,,,,,,COVID-19 negative certification required for entering the country,"To enter Senegal, you must provide a negative test dated no more than 5 days earlier, issued in the country where you started your trip",,,,,,,,,,,
SRB,Self-isolation at own accommodation- subject to PCR,Serbian nationals and foreign nationals with temporary and permanent residence must either present a negative PCR test taken in the 48 hours before arrival or spend 10 days in self-isolation at home following entry to Serbia,,,,,,,COVID-19 negative certification required for entering the country,Tests cannot be taken on arrival,All visitors to Serbia (with a limited number of exceptions) are required to have with them a negative PCR test taken in the 48 hours before arrival,Serbian nationals and foreign nationals with temporary and permanent residence must either present a negative PCR test taken in the 48 hours before arrival or spend 10 days in self-isolation at home,,,,,,,,,
SYC,Quarantine requirement at government designated site,There will be no quarantine requirements and no restriction on movement for most visitors upon entry to Seychelles,Unvaccinated Seychellois nationals and permanent residents must undergo 7 days of home quarantine,All unvaccinated Gainful Occupational Permit (GOP) holders holders travelling to Seychelles will be expected to undergo 7 days of quarantine in a private quarantine facility or a certified tourism establishment,GOP holders may enter Seychelles from any country and will not face quarantine if they have completed a full dose of vaccination at least two weeks before travelling,,,,"COVID-19 negative certification required for entering the country All visitors must present a negative PCR test on arrival, taken within the 72 hours prior to their departure",,,,,,,,,,,,
SLE,Quarantine requirement at government designated site- subject to PCR,"If you test positive for the RDT test, you will be required to quarantine at a hotel in Lungi at your own expense while you wait for the result of your PCR test",The PCR result supersedes the RDT result,"If you test positive for the PCR test result, you‚Äôll be contacted by Sierra Leonean health authorities and requiretd to self-isolate","If you are travelling to Sierra Leone from India, Turkey, Brazil, and Argentina in the past 14 days (excluding airport transit) you must go into quarantine in a Government of Sierra Leone approved quarantine facility or hotel for a minimum of 8 days from arrival, at the traveller at own expense",,,,COVID-19 negative certification is required to enter the country,"If you intend to travel to Sierra Leone, you must get authorisation from the Government of Sierra Leone through the online portal before you travel",You must have proof of a negative PCR COVID-19 test result issued no earlier than 7 days prior to your date of travel,All passengers are required to have both a COVID-19 PCR and RDT test (in addition to the negative test result required to get authorisation to travel to Sierra Leone),"If you are travelling to Sierra Leone from India, Turkey, Brazil, and Argentina in the past 14 days (excluding airport transit) you must hold a valid negative Polymerase Chain Reaction (PCR) based COVID-19 test result certificate from a certified laboratory taken no earlier than 72 hours before departure from the point of origin",,,,,,,,
SGP,Quarantine requirement at government designated site,"All visitors must be granted permission to enter Singapore by the Singapore government and if granted permission to enter, you will be issued Stay at Home Notice (SHN) for at least 21 days","A limited number of countries have been designated as kow risk will be issued with a 7-day SHN, or no SHN",Arrivals from countries found in SafeTravel ICA. You will be also be permitted to carry out quarantine at their residence,Once you have permission to enter Singapore you must submit an online health declaration  in advance of your arrival,,,,COVID-19 negative certification required for entering the country,Singapore Citizens and Permanent Residents can enter Singapore without permission,"Everyone, apart from Singapore citizens and Singapore Permanent Residents, entering Singapore from the UK (and from most other countries) must obtain a negative COVID-19 test (PCR test) within 72 hours of travel","F All arrivals must have three PCR COVID-19 tests after arrival: one upon arrival in Singapore, one after 14 days and one at the end of their 21 day quarantine period",,,,,,,,,
ANT,Quarantine requirement at government designated site or self-isolation at home,"Passengers from Bonaire, Curacao, Saba, Sint Maarten, and St",Kitts and Nevis can request entry to Sint Eustatius without quarantine restrictions,"Passengers from Aruba, the Netherlands, Belgium, Germany, and France can request entry to Sint Eustatius, but must comply with a home-based quarantine","Passengers from the United States, the United Kingdom, the Dominican Republic, and most South and Central American countries can request entry to Sint Eustatius, but must comply with a mandatory quarantine in a quarantine facility",,,,COVID-19 negative certification not required not known,,,,,,,,,,,,
SXM,No requirement,A determined list of nationals establishes entry and the obligation to have a medical certificate with a negative Coronavirus (COVID-19) PCR test taken and have the result within 72 hours before arrival date,,,,,,,COVID-19 negative certification required for entering the country,,,,,,,,,,,,
SVK,Self-isolation at own accommodation,All travellers arriving by land or air must complete a 14-day quarantine,The quarantine period may be shortened by taking a second RT-PCR test no less than 8 days after arrival,"If the result of this test is negative, the period of quarantine can end",,,,,COVID-19 negative certification required for entering the country,"Travellers from EU or Schengen Associated countries, who have either recovered from COVID-19 within the last 180 days or been vaccinated against Covid-19 -with their second dose received more than 14 ago in the case of mRNA vaccines; (Pfizer  BioNTech and Moderna), or their first dose received more than 4 weeks ago in the case of vector vaccines (AstraZeneca)- can enter Slovakia if they present a negative Covid-19 antigen test no older than 48 hours or of a negative RT-PCR test no older than 72 hours","Additionally, they will have to quarantine until they take a second test, at their expenses, and they result negative again",,,,,,,,,,
SVN,Self-isolation at own accommodation,Travellers from countries on the high-risk list who do not provide a pre-departure negative COVID-19 test must complete a 10-day quarantine,Travellers that have proof of vaccination against COVID-19 are exempt from quarantine,"It is required that the vaccination took place in a EU+ country and that the second dose has been administered at least: 7 days before arrival for Biontech Pfizer, 14 days before arrival for Moderna, 21 days before arrival for AstraZeneca",,,,,COVID-19 negative certification required for entering the country,Travellers from countries on high-risk countries re subject to the requirement for a pre-departure negative COVID-19 test taken within 48 hours prior to arrival (PCR),"All tests must be performed in an EU Member State or Schengen Associated Country by a recognised institution published on the National Laboratory of Health, Environment and Food website )",,,,,,,,,,
SLB,Quarantine requirement at government designated site,Quarantine in Honiara will be 21 days,Non-Solomon Islanders must pay for quarantine and COVID-19 tests in one of the local hotels,,,,,,COVID-19 negative certification required for entering the country,To enter Solomon Islands from High Risk countries (including Restricted countries for eligible fully vaccinated travellers) passengers must undertake three COVID-19 PCR prior to flight departure and negative test results are required: First Test - 18-21 days prior to departure - results to be sent to NHEOC_REPAT@moh.gov,Second Test - 8-11 days prior to departure - results to be sent with your Pre-Departure Form to NHEOC_REPAT@moh.gov,Third Test - no earlier than 72 hours prior to departure - results to be sent to NHEOC_REPAT@moh.gov,To enter Solomon Islands from Low Risk countries travellers must undertake two COVID-19 PCR tests prior to flight departure and both results must be negative,First Test:  14 days prior to departure - results to be sent with your Pre-Departure Form to NHEOC_REPAT@moh.gov,Second Test : No earlier than 72 hours prior to departure - results to be sent to NHEOC_REPAT@moh.gob,,,,,,
SOM,Quarantine requirement subject to PCR,Travellers displaying symptoms linked to the virus may be transferred to a nearby isolation facility while further tests are carried out,"Somaliland: A negative COVID-19 test, taken no more than 96 hours before travel, is required for entry into Somaliland","If you do not have this evidence on arrival, then you may have to spend 14 days in quarantine at your own expense in a government approved facility",,,,,COVID-19 negative certification required for entering the country,"A negative COVID-19 negative test, taken no more than 72 hours before travel, is required for entry into Somalia","Somaliland: A negative COVID-19 test, taken no more than 96 hours before travel, is required for entry into Somaliland","If you do not have this evidence on arrival, then you may have to spend 14 days in quarantine at your own expense in a government approved facility",,,,,,,,,
ZAF,Quarantine requirement at government designated site or self-isolation (if requested),If you fail to produce a paper copy of a negative PCR (polymerase chain reaction) test you will be required to quarantine at a government-appointed facility at your own cost,Self-isolation is not required if you have provided the negative PCR (polymerase chain reaction) test,,,,,,COVID-19 negative certification required for entering the country,International air travel to South Africa has resumed,"Upon arrival in South Africa, you will need to produce a paper copy of a negative PCR (polymerase chain reaction) COVID-19 test that have taken place no more than 72 hours before your departure",,,,,,,,,,
SSD,Self-isolation at own accommodation,"You will also need to self-isolate on arrival, for 10 days without a test or for 7 days with test and release",,,,,,,COVID-19 negative certification required for entering the country,"You must have a certificate showing you are free from coronavirus, issued no more than 96 hours ahead of your journey",,,,,,,,,,,
ESP,"There is no mandatory quarantine for travellers, but PCR is required",A quarantine is not required,A coronavirus test is required if arriving from high-risk areas by air or sea transport,"All passengers that enter Spain by air or sea transport and who come from COVID-19 high-risk country or area must present a certificate with a negative result for a COVID-19 RT-PCR test, a Transcription-Mediated Amplification (TMA) test, or any other test based on equivalent molecular techniques, carried out in the 72 hours before arrival","However, persons coming from the following countries: Brazil, South Africa, Botswana, Comoros, Ghana, Kenya, Mozambique, Tanzania, Zambia, Zimbabwe, Peru, Colombia must complete a 10-day quarantine after their arrival in Spain, or for the duration of their stay if it is shorter than that","This period may end earlier, if on day 7 the person is tested for COVID-19 with a negative result",,,COVID-19 negative certification required for entering the country,All travellers arriving from high-risk areas  by air or sea transport are subject to the requirement for a pre-departure negative COVID-19 test,"As of 30 March, the same requirement is imposed on travellers crossing the land border between France and Spain","Only those working in transportation and cross-border workers will be exempt, along with those who live in the border zone (as long as they remain within a 30-kilometre radius of their home)",The test must be taken within  72 hours prior to arrival,"Accepted test: PCR, TMA or other molecular techniques",Children aged 6 and under are exempted,Specific Rules for Canary Islands: All travellers to the Canary Islands are subject to the requirement for a pre-departure negative COVID-19 test,The test must be taken within 72 hours prior to arrival,"If you are travelling from high-risk country or area , a negative PCR test presented upon arrival in Spain will be valid","Also, passengers arriving by air or sea transport may undergo a temperature check, which must be below 37.5 degrees Celsius",Cruising companies can take passengers' temperature before arriving at a Spanish port,
LKA,Quarantine requirement at government designated site and self-isolation at home,,,,,,,,COVID-19 negative certification required for entering the country,Some airlines require evidence of a negative COVID-19 test taken up to 72 hours before the start of travel,You should check with your airline before travelling,Entry to Sri Lanka is subject to arrangements for quarantine and PCR testing,This is set out in guidance from the Ministry of Health,,,,,,,,
SDN,,,,,,,,,COVID-19 negative certification required for entering the country,Passengers of Sudanese origin are subject to testing for coronavirus (COVID-19) on arrival,"All other passengers must possess a certificate confirming a negative result for a test, taken less than 72 hours before arrival",,,,,,,,,,
SUR,Quarantine requirement at government designated site or self-isolation at home,All incoming travellers are subject to a 14-day quarantine upon arrival (seven days at a government facility plus seven days at home for people travelling from high COVID-19-infected countries like the USA or Brazil),People coming from the countries with a decreasing COVID-19 trend will be home quarantined for 14 days,,,,,,COVID-19 negative certification required for entering the country,"Government announced on 27 September than when international flights will resume, passengers will need to submit a negative COVID-19 test","You should check their websites for further information, including the requirements for a COVID-19 PCR test, which may be required prior to boarding",,,,,,,,,,
SWE,Quarantine is not required,,,,,,,,COVID-19 negative certification required for entering the country,The Government has decided to extend the general entry ban for foreign citizens who cannot present a negative COVID-19 test result on arrival in Sweden until 31 May 2021,All travellers are subject to the requirement for a pre-departure negative COVID-19 test taken within 48 hours prior to arrival,"Accepted tests: antigen, TMA, PCR, LAMP",Children aged 17 and under are exempted,Exemptions are available for cross-border workers and some other categories,"If you got tested before your departure for Sweden, you do not have to get tested again in connection with your arrival, but you should still get tested 5 days after your arrival",,,,,,
CHE,Self-isolation at own accommodation,"Travellers who, in the last 10 days before entry into Switzerland, have spent time in a country or area with an increased risk of infection , must complete a mandatory quarantine and report their arrival in Switzerland to the cantonal authorities",The quarantine can be shortened with a negative result to a PCR test taken on day 7,,,,,,COVID-19 negative certification required for entering the country,"All travellers arriving by air, as well as all travellers entering by bus  rail  car who have stayed in a country with an increased risk of infection  in the 10 days before entering Switzerland, are subject to the requirement for a pre-departure negative PCR test",The test must be taken within 72 hours prior to arrival,Only molecular tests are accepted - the result of a rapid antigen test is not sufficient,Children aged 12 and under are exempted,More exemptions from the Testing and Quarantine Requirement  are available,,,,,,,
SYR,Quarantine requirement at government designated site,Syrians returning from abroad on government-organised repatriation flights are required to undergo 14-day quarantine at designated facilities,"WFP Only: WFP staff coming from Beirut should do the PCR test upon arrival and wait 8 hours for the results, before transiting to Damascus","Staff can also be tested in a new clinic located in Beirut international airport, which provides results within 4 hours",If they arrive before 2:00pm it is possible to be tested and travel to Damascus on the same day,Upon arrival in Damascus they will stay for 5 days in the Yaafour resort (for international staff) or at their own residence (national staff),,,COVID-19 negative certification required for entering the country,"PCR test to be taken on the Lebanon-Syrian border, with a priori test to be taken in Lebanon",,,,,,,,,,,
TWN,Quarantine requirement at government designated site or own accommodation,"The local authorities have announced that from 15 January 2021, there will be tightened quarantine measures in Taiwan, and group quarantine facilities will now be available for passengers travelling from low-risk countries",Passengers who are eligible and choose to quarantine at a private residence rather than a quarantine hotel or a group quarantine facility will be required to declare that their residence complies with quarantine requirements,You should refer to the Taiwan Centers for Disease Control (CDC) for further information,,,,,COVID-19 negative certification required for entering the country,All passengers arriving or transiting in Taiwan are required to present a certificate of a negative COVID-19 RT-PCR test in order to be able to board their flight to Taiwan,Any exemption due to exceptional circumstances will require prior approval before departure,This test needs to have taken place within three working days before the date of departure,"Test Certificates of a negative COVID-19 RT-PCR must be issued by a recognised medical institution in the country of departure and include the following information:  passenger full name as per their passport, date of birth or passport number of the traveller, specimen collection date and test report date,  virus name, testing method and the test result","Test Certificates are required to be produced in either English or Chinese; however, in situations where the passenger provides a certificate in either French or Spanish, if the certificate is in the official language of the place of departure, and ground personnel of the airline are able to assist with the inspection of the content, the certificate may be accepted",,,,,,,
TJK,Quarantine requirement at government designated site,Travellers entering Tajikistan are currently being confined in state facilities for 14 days upon arrival; this may be subject to change,,,,,,,COVID-19 negative certification required for entering the country,"The Tajik Ministry of Foreign Affairs confirmed that all international travellers arriving in Tajikistan must provide confirmation of a negative PCR test, issued within 72 hours of arrival","Please note, the test must be a COVID-19 PCR swab test",Other test results including antibody tests are not accepted,"COVID-19 entry requirements may change at short notice, and travellers to Tajikistan are strongly encouraged to check the specifics with their airline, including the timeframes for undertaking COVID-19 PCR tests, before travel",,,,,,,,
THA,Quarantine requirement at government designated site,"Most travellers to Thailand, including all British nationals travelling from the UK, are now required to complete 10 days (11 nights) quarantine at a State Quarantine ot Alternative State Quarantine (ASQ) facility",,,,,,,COVID-19 negative certification required for entering the country,When you arrive you must present your certificate (original or a print out of an online version) to International Port Health Control,During your stay in ASQ you will be tested for COVID-19,,,,,,,,,,
TLS,Quarantine requirement at government designated site or own accommodation,"Following the presentation of a valid negative COVID 19 test, you will need to quarantine for 14 days either in a government facility or in your own accommodation, subject to the approval of the Ministry of Health",Those who have been fully vaccinated and hold a valid vaccination certificate will be exempt from mandatory quarantine,,,,,,COVID-19 negative certification required    not known   Timor-Leste is in the process of implementing a series of changes to their admission procedures due to the recent increase in imported COVID 19 cases,"While these are being rolled out, in addition to meeting the categories above, you should reconfirm your eligibility to enter Timor-Leste, with your travel agent  airline and the Embassy of Timor-Leste","Following the presentation of a valid negative COVID 19 test, you will need to quarantine for 14 days either in a government facility or in your own accommodation, subject to the approval of the Ministry of Health",,,,,,,,,,
TGO,Quarantine requirement at government designated site or self-isolate- subject to PCR,Those with positive test results will be required to self-isolate either at home or at a government facility until they test negative,,,,,,,COVID-19 negative certification required for entering the country,"All passengers arriving in Togo must complete an <a href=""https:    voyage",gouv,"tg  ?language=en"">online immigration and health form  and pay for a COVID-19 test (on the same website) before travel","The cost of the test is CFA 40,000",You will need a print-out of the electronic receipt to be allowed to board the aircraft,The COVID-19 PCR test will be carried out on arrival at Lom√© international airport,"Before leaving the airport you must download the Togo Safe application, which will allow you to specify the location where you will self-isolate until you receive your test results",This application is available from App stores,Test results should arrive within 24 hours,Those with positive test results will be required to self-isolate either at home or at a government facility until they test negative,,
TON,Quarantine requirement at government designated site,"Citizens, permanent residents, and emergency officials coming into the country from abroad will have to comply with the 14 day self-isolation period as directed by the authorities",,,,,,,COVID-19 negative certification required for entering the country,"Travelers are required to undergo medical clearance within three days of traveling to Tonga, and to provide the clearance to Tongan authorities before being granted entry",Failure to provide medical clearance could result in denial of entry or return to country of origin,,,,,,,,,,
TTO,Quarantine requirement at government designated site,Travellers entering Trinidad and Tobago who have been in the UK in the 14 days prior to arrival will be required to be placed in state quarantine or state supervised quarantine for a 14-day period,"Nationals arriving from other countries will be required to be placed in state quarantine, or state supervised quarantine for a 7 day period followed by seven day period of home isolation",You will be tested on the sixth day of your quarantine and released to home isolation once you test negative,,,,,COVID-19 negative certification required for entering the country,"From November 15, nationals entering Trinidad and Tobago will be required to provide a negative Polymerase Chain Reaction (PCR) test, which was taken within 72 hours of arrival into the country",,,,,,,,,,,
TUN,Self-isolation at own accommodation,You must quarantine at a government-approved hotel for 7 days on arrival at your own expense,You must show evidence of your hotel booking at your point of departure for Tunisia,"On or after day five of your hotel quarantine, you should pay to take a second COVID-19 PCR test",Exemptions from hotel quarantine: If you fall into one of the exempt categories you will be subject to a rapid COVID-19 test on arrival,"If you test positive, you will be taken into obligatory quarantine at a government-approved hotel",The Tunisian government has not specified the duration of this,"You should isolate at home for 7 days and pay to take a second COVID-19 PCR test, and receive a second negative result, in order to leave isolation",COVID-19 negative certification required for entering the country,,"You must take a PCR test less than 72 hours before travel and show evidence of the negative test result, with the date of the test clearly labelled, at your point of departure for Tunisia",Children under 12 years old are exempt from this requirement,You should take a private test and ensure the test certificate includes the date of the test,You must complete this Tunisian government short online questionnaire  before travelling,Travellers entering Tunisia by land across the Libyan border need a negative PCR test but are not currently obliged to self-isolate on arrival,"If you are travelling from Libya to Tunisia by air, you will be subject to the same rules as all other travellers",,,,,
TUR,No declared quarantine requirement,,,,,,,,COVID-19 negative certification required for entering the country,"Passengers who are in direct transit through Turkey to other destinations do not require a negative PCR test, unless their journey originated in India, Brazil or South Africa","Passengers transiting Turkey from India, Brazil or South Africa will be required on boarding to show a negative PCR test result taken within 72hrs of departure to Turkey","From 15 May, passengers from the UK will not require a negative PCR test or vaccine certificate to enter Turkey",,,,,,,,,
TKM,Quarantine requirement at government designated site,Mandatory quarantine is in place for all arrivals from abroad for up to 21 days,You will need to complete quarantine in a state-run facility,,,,,,COVID-19 negative certification subject to special conditions,Everyone arriving into the country is tested for COVID-19,"Regardless of whether the test is positive or negative, all arrivals will be placed into quarantine for 21 days",Anyone wishing to leave the country must present a negative test certificate signed by a doctor within 24 hours of intended travel,,,,,,,,,
TCA,Quarantine Requirement- Unknown where,"Every person returning to the island will be subject to a 14-day quarantine, be required to sign a quarantine form, and complete all required forms from the Ministry of Health",,,,,,,COVID-19 negative certification required for entering the country,"From 22 July, any eligible travellers arriving to the Turks and Caicos Islands must have evidence of a negative COVID-19 test from a reputable facility within 5 days of arrival, proof of health  travel insurance with COVID-19 cover (including cover for any necessary in-country medical treatment, quarantine costs or repatriation  medevac) and must complete a health screening questionnaire",All visitors will be required to wear masks on arrival to the Turks and Caicos Islands,,,,,,,,,,
TUV,Quarantine requirement outside territory,"Every person returning to the island will be subject to a 14-day quarantine, be required to sign a quarantine form, and complete all required forms from the Ministry of Health",,,,,,,COVID-19 negative certification required for entering the country,,,,,,,,,,,,
UGA,"Quarantine requirement at government designated site, if symptomatic",Arriving passengers will be subject to temperature checks and will be screened for infectious diseases by the Port Health authorities,If a passengers shows signs or symptoms of any infectious disease they will taken by ambulance to a local isolation centre to undergo a COVID-19 test at their own cost,Test results will be returned within 24 to 48 hours; passengers will be expected to remain at the isolation centre until the test results are returned,,,,,COVID-19 negative certification is required for entering the country,"From 8 May 2021 all travellers from the UK, Ethiopia, Kenya, South Africa, South Sudan, Tanzania, Turkey, the UAE and the USA will be required to undergo PCR testing at the border at their own expense, including at Entebbe International Airport, unless they have received their full COVID-19 vaccination and show no COVID-19 symptoms","Departing passengers are required to present a negative COVID-19 PCR test certificate, issued no more than 120 hours before travel",The 120 hours begins on the day the sample is collected for testing,,,,,,,,,
UKR,Quarantine requirement at government designated site or self-isolation at home- subject to category,Foreign nationals with a valid negative PCR test should not have to self-isolate on arrival in Ukraine,It is not possible to self-isolate as an alternative to the requirement to take a PCR test before arrival,"Ukrainian citizens (including those with dual nationality) and foreign residents of Ukraine must self-isolate on arrival for 14 days, unless they take a PCR test and receive a negative result no more than 48 (not 72) hours before arrival in Ukraine",Residents or Ukrainian nationals arriving in Ukraine without a negative PCR test must install the Vdoma tracking app for their 14-day self-isolation,The 14 day self-isolation can be terminated early by taking a PCR test and receiving a negative result,,,COVID-19 negative certification is required for entering the country,"All non-exempt foreign nationals must also provide proof of a negative PCR test, taken no more than 72 hours in advance of their arrival in Ukraine",This does not apply to children under 12 years of age,,,,,,,,,,
ARE,Self-isolation at own accommodation,"Stringent entry restrictions remain in place upon arrival at all airports in the UAE which may include, but are not limited to, a Health Authority COVID-19 PCR test on arrival, mandatory quarantine period, usually via self-isolation at a private address if suitable, or a hotel or Government facility and follow up testing before you are able to complete quarantine",Once any quarantine period is complete you must continue to comply with all measures put in place by the UAE authorities to prevent the spread of COVID-19,"Arrivals from countries that the UAE authorities consider high risk, and or for whom the authorities assess private accommodation in the UAE to be unsuitable, are likely to be required to quarantine in a government quarantine facility","If you test positive for COVID-19 on arrival, depending on your symptoms and your accommodation plans, you may be required to self-isolate in a government facility, a hospital, your hotel or privately arranged accommodation for at least 10 days",All arrivals in Abu Dhabi must isolate for 10 days on arrival although arrivals from certain countries as listed on the Visit Abu Dhabi website will not be required to isolate,,,COVID-19 negative certification required for entering the country,"Residents, tourists and visitors travelling from or through the UK and arriving in Dubai and Abu Dhabi must have a negative COVID-19 PCR test which was taken no more than 72 hours before departure and present the certificate at check in",Travellers arriving in Abu Dhabi will also be required to undertake a COVID-19 PCR test on arrival,Travellers arriving in Dubai may be required to undertake a further COVID-19 PCR test on arrival and will have to isolate pending the result of the COVID-19 PCR test,"In all circumstances, the test must be a COVID-19 PCR swab test",,,,,,,,
GBR,Quarantine requirement at government designated site or self-isolation at home- subject to category,"From 17 May categorization of country of origin in Red, Amber of Green will determine quarantine requirements",,,,,,,COVID-19 negative certification required for entering the country,"A PCR test is requred for entry into the UK, taken up to 72 hours before traveling","From 17 May 2021, entry into the UK will be subject to a categorisation, dependent on the country traveled to",,,,,,,,,,
TZA,"Quarantine requirement at government designated site, if symptomatic","If you are tested for COVID-19 on arrival, you may be required to self-isolate for 14 days",Travellers entering the country should be aware of possible health risks posed by inadequate protocols and facilities within the quarantine locations,You should comply with any additional screening measures put in place by the authorities,,,,,COVID-19 negative certification is required for entering the country,"To enter Tanzania, passengers must provide proof of a negative COVID-19 test, performed within the 72 hours prior to boarding their flight","All passengers are required to truthfully fill out a Traveller's Surveillance Form available on board, to be submitted to the Port Health Authorities upon arrival",All passengers will be subject to enhanced screening for COVID-19 infection,There will be NO mandatory quarantine,"All passengers should observe measures such as hand hygiene, wearing masks and keeping physical distancing as appropriate",,,,,,,
USA,Self-isolation at own accommodation,"You are expected to quarantine for at least 7 days after arriving in the US, and to take a COVID-19 test (NAAT or antigen) 3-5 days after arrival",You can find the full announcement on the US Centre for Disease Control and Prevention website,,,,,,COVID-19 negative certification is required for entering the country,"As of 26 January 2021, all passengers aged 2 and above arriving by air into the United States from any foreign country will be prevented from entry into the United States unless they have either a negative pre-departure test result (NAAT or antigen), or documentation of recovery from COVID-19 provided by a licensed health care provider or public health official",,,,,,,,,,,
URY,Self-isolation at own accommodation,Upon arrival you are legally obliged go to a declared address to carry out a 7-day mandatory quarantine,On day 7 of the quarantine you will be required to have a second swab taken and wait for a negative result before being allowed to finish your quarantine period,Alternatively you can quarantine for 14 days without having to take the second test,,,,,COVID-19 negative certification required for entering the country,Passengers will need to present a negative coronavirus test taken maximum 72 hours before boarding at origin,You will not be allowed to board if you do not have this,Enhanced screening at airports,,,,,,,,,
UZB,Quarantine requirement at government designated site or self-isolation at home- subject to categorisation: Eligible visitors arriving in Uzbekistan from a country categorised as Green or who have been in one of these countries 14 days prior to arrival will not be subject to any mandatory quarantine or self-isolation period unless they display symptoms on arrival,No track and trace app is currently available,"However, all visitors arriving into the country are registered by Uzbek Authorities","If arriving from a country categorised as Yellow or Red, which currently includes the UK, it is mandatory to provide the address where you will self-isolate for the 14-day period","Tourists arriving to Uzbekistan on an organised tour can be exempt from mandatory 14 days self-isolation requirement, if they are issued with special exemption voucher",British Nationals should seek advice from their Travel Agent before making any travel arrangements,Passengers who take a PCR test on arrival and who test positive will be quarantined for 14 days at a state facility or a dedicated hotel at their own expense,,"COVID-19 negative certification required for entering the country British nationals can only enter Uzbekistan providing they have a negative Polymerase Chain Reaction (PCR) test for Coronavirus no more than 72 hours before their arrival into the Country, including passengers who have vaccinated",British passport holders can enter Uzbekistan for stays of up to 30 days without requiring a visa,Passengers may also be subject to temperature checks on arrival into the Country,,,,,,,,,,
VUT,Quarantine requirement at government designated site,Arriving passengers are required to undergo 14 days‚ quarantine at a government approved location at their own expense,,,,,,,COVID-19 negative certification required for entering the country,"Before making your onward flight booking from your transit point, you should check with your airline if you require a COVID-19 test, as these are not currently available in Vanuatu",,,,,,,,,,,
VEN,Quarantine requirement at government designated site- subject to testing,All travellers entering Venezuela must be COVID-19 tested at port of entry,"If you test positive for COVID-19, quarantine at a state-designated facility is compulsory",,,,,,COVID-19 negative certification required for entering the country,All travellers entering Venezuela must have a negative COVID-19 PCR test performed within 48 hours of boarding their incoming flight,"All individuals will be subjected to a further COVID-19 PCR test at port of entry, to be administered by a service provider designated by local health authorities this PCR test costs USD $60 (United States dollars) and is payable in cash only","If you test positive for COVID-19, you must follow instructions from the local health authorities in respect to quarantine and sanitary assistance",,,,,,,,,
VNM,Quarantine requirement at government designated site,Quarantine is mandatory for anyone who may have come in to contact with coronavirus inside Vietnam and for most coming to Vietnam Vietnamese government quarantine centres are basic,There are provisions for people who are exceptionally allowed to enter the country for work to be allowed to undertake quarantine in a hotel approved by the Ministry of Health,Anyone entering Vietnam from 1 September 2020 must pay for quarantine costs both in government centres and in designated hotels,Quarantine lasts a minimum of 21 days and could be longer depending on local conditions and policies and if you test positive at any point,"If you test positive, you will be treated in a Vietnamese hospital",Following discharge you will be expected to undertake a period of self-isolation for 7 days during which you should not leave your home unless urgent,Once you have completed quarantine and self-isolation you should receive a document specifying this,COVID-19 negative certification subject to special conditions,Vietnam uses community testing as a means to provide assurance that COVID-19 is not being transmitted undetected,"Should you be asked to undertake testing, you should comply",Failure to comply can be an offence with significant punishments,,,,,,,,,
